003280|흥아해운|2,050
520009|미래에셋 레버리지 원유선물혼합 ETN(H)|12,010
272580|TIGER 단기채권액티브|50,540
294400|KOSEF 200TR|38,555
004430|송원산업|20,200
357120|코람코에너지리츠|5,450
007570|일양약품|25,200
017810|풀무원|12,450
005390|신성통상|3,295
007810|코리아써키트|19,900
025860|남해화학|9,470
001880|DL건설|21,100
006405|삼성SDI우|287,500
115390|락앤락|9,030
002240|고려제강|20,100
005180|빙그레|46,850
251350|KODEX 선진국MSCI World|19,830
007660|이수페타시스|7,150
033270|유나이티드제약|27,700
315930|KODEX Top5PlusTR|15,705
000230|일동홀딩스|38,850
007690|국도화학|49,450
037560|LG헬로비전|5,700
001530|DI동일|17,200
001820|삼화콘덴서|42,250
053210|스카이라이프|9,090
379800|KODEX 미국S&P500TR|11,490
002320|한진|28,350
123890|한국자산신탁|3,415
286940|롯데정보통신|27,450
145990|삼양사|40,950
306200|세아제강|148,500
183190|아세아시멘트|10,800
006390|한일현대시멘트|23,650
003580|HLB글로벌|9,950
034830|한국토지신탁|1,650
138490|코오롱플라스틱|10,950
003070|코오롱글로벌|16,500
003620|쌍용차|2,770
094800|맵스리얼티1|4,430
004890|동일산업|169,000
003220|대원제약|18,750
030610|교보증권|6,320
009160|SIMPAC|6,230
005950|이수화학|14,550
367380|KINDEX 미국나스닥100|12,375
001725|신영증권우|57,300
190620|KINDEX 단기통안채|100,615
082740|HSD엔진|8,600
314250|KODEX 미국FANG플러스(H)|20,535
071840|롯데하이마트|17,000
364980|TIGER KRX2차전지K-뉴딜|13,065
027410|BGF|4,180
068400|SK렌터카|8,430
385540|KBSTAR KIS종합채권(A-이상)액티브|95,215
012630|HDC|6,640
092220|KEC|2,725
060980|한라홀딩스|37,550
008490|서흥|33,900
018250|애경산업|14,800
148070|KOSEF 국고채10년|110,995
161000|애경케미칼|8,040
069660|KOSEF 200|31,815
371160|TIGER 차이나항셍테크|6,645
058650|세아홀딩스|96,700
011930|신성이엔지|1,875
084010|대한제강|15,650
037270|YG PLUS|6,060
281820|케이씨텍|18,300
251340|KODEX 코스닥150선물인버스|4,925
002900|TYM|2,465
001470|삼부토건|1,995
007460|에이프로젠 MED|1,565
108670|LX하우시스|41,300
016800|퍼시스|31,550
071320|지역난방공사|31,200
322000|현대에너지솔루션|31,900
003545|대신증권우|13,650
226490|KODEX 코스피|24,275
016590|신대양제지|87,700
379810|KODEX 미국나스닥100TR|10,605
329750|TIGER 미국달러단기채권액티브|11,170
000050|경방|12,800
001510|SK증권|740
088260|이리츠코크렙|5,510
001390|KG케미칼|25,150
226320|잇츠한불|15,850
004250|NPC|9,400
271980|제일약품|23,400
009290|광동제약|6,540
010690|화신|9,810
122900|아이마켓코리아|10,150
005500|삼진제약|24,300
130660|한전산업|10,350
055490|테이팩스|71,000
024720|한국콜마홀딩스|17,950
071055|한국금융지주우|56,500
020120|키다리스튜디오|9,000
003300|한일홀딩스|10,650
095570|AJ네트웍스|6,990
075580|세진중공업|5,710
015860|일진홀딩스|6,550
